;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
23 de jul de 10;45,9927;45,2744;45,9528; 0,72 ;0,12;0,00;13,92;3,09;2,74;22,21;19,68;2,53;41,89;6,03;19,11
26 de jul de 10;46,3518;45,8031;46,3319; 0,55 ;0,36;0,00;13,47;3,23;2,54;23,97;18,88;5,09;42,85;11,88;18,59
27 de jul de 10;46,6112;46,1024;46,3119; 0,51 ;0,26;0,00;13,02;3,26;2,36;25,03;18,14;6,88;43,17;15,94;18,40
28 de jul de 10;46,4716;45,7732;45,9428; 0,70 ;0,00;0,33;12,79;3,03;2,52;23,66;19,73;3,93;43,39;9,06;17,74
29 de jul de 10;46,302;45,1447;45,6036; 1,16 ;0,00;0,63;13,03;2,81;2,97;21,56;22,80;1,24;44,36;2,79;16,67
30 de jul de 10;45,9827;44,9651;45,7034; 1,02 ;0,00;0,18;13,12;2,61;2,94;19,89;22,40;2,51;42,29;5,94;15,90
2 de ago de 10;46,6811;46,1025;46,5614; 0,98 ;0,70;0,00;13,16;3,12;2,73;23,72;20,73;2,98;44,45;6,71;15,25
3 de ago de 10;46,5913;46,1423;46,3618; 0,45 ;0,00;0,00;12,67;2,90;2,53;22,88;20,00;2,88;42,88;6,71;14,64
4 de ago de 10;46,8806;46,3918;46,8287; 0,52 ;0,29;0,00;12,28;2,98;2,35;24,26;19,15;5,11;43,42;11,77;14,43
5 de ago de 10;46,8108;46,4117;46,721; 0,42 ;0,00;0,00;11,82;2,77;2,18;23,41;18,48;4,93;41,89;11,77;14,24
6 de ago de 10;46,7409;45,9428;46,6511; 0,80 ;0,00;0,47;11,78;2,57;2,50;21,82;21,21;0,61;43,03;1,43;13,33
9 de ago de 10;47,0801;46,6811;46,9704; 0,43 ;0,34;0,00;11,36;2,73;2,32;23,98;20,41;3,58;44,39;8,05;12,95
10 de ago de 10;46,8407;46,1723;46,5639; 0,80 ;0,00;0,51;11,35;2,53;2,66;22,30;23,46;1,16;45,75;2,53;12,21
11 de ago de 10;45,8131;45,1048;45,2943; 1,46 ;0,00;1,07;12,00;2,35;3,54;19,59;29,50;9,91;49,09;20,20;12,78
12 de ago de 10;45,1347;44,3465;44,9352; 0,95 ;0,00;0,76;12,09;2,18;4,05;18,05;33,46;15,41;51,51;29,92;14,00
13 de ago de 10;44,9551;44,6059;44,6159; 0,35 ;0,00;0,00;11,57;2,03;3,76;17,51;32,45;14,95;49,96;29,92;15,14
16 de ago de 10;45,005;44,1969;44,6957; 0,81 ;0,00;0,41;11,56;1,88;3,90;16,28;33,72;17,44;50,00;34,88;16,55
17 de ago de 10;45,6734;44,9252;45,2664; 0,98 ;0,67;0,00;11,71;2,42;3,62;20,63;30,91;10,27;51,54;19,94;16,79
18 de ago de 10;45,7133;45,005;45,444; 0,71 ;0,04;0,00;11,58;2,28;3,36;19,71;29,01;9,30;48,73;19,09;16,95
19 de ago de 10;45,3542;44,4563;44,7556; 0,99 ;0,00;0,55;11,74;2,12;3,67;18,05;31,25;13,19;49,30;26,76;17,65
20 de ago de 10;44,9252;44,4363;44,8154; 0,49 ;0,00;0,02;11,39;1,97;3,43;17,28;30,08;12,80;47,36;27,03;18,32
23 de ago de 10;45,2345;44,3565;44,3765; 0,88 ;0,31;0,00;11,46;2,14;3,18;18,66;27,78;9,12;46,43;19,64;18,42
24 de ago de 10;44,0173;43,3638;43,5484; 1,01 ;0,00;0,99;11,65;1,98;3,95;17,03;33,88;16,85;50,92;33,09;19,47
25 de ago de 10;44,157;43,1693;43,9674; 0,99 ;0,00;0,19;11,81;1,84;3,86;15,61;32,70;17,09;48,30;35,37;20,60
26 de ago de 10;44,2168;43,3987;43,4386; 0,82 ;0,06;0,00;11,78;1,77;3,58;15,03;30,42;15,39;45,46;33,86;21,55
27 de ago de 10;44,0572;42,87;43,9674; 1,19 ;0,00;0,53;12,13;1,64;3,86;13,56;31,81;18,25;45,37;40,22;22,88
30 de ago de 10;44,147;43,4985;43,5085; 0,65 ;0,09;0,00;11,91;1,62;3,58;13,58;30,07;16,50;43,65;37,80;23,95
31 de ago de 10;43,7479;43,0795;43,3588; 0,67 ;0,00;0,42;11,73;1,50;3,74;12,80;31,93;19,13;44,74;42,76;25,29
1 de sep de 10;44,8055;43,9674;44,6558; 1,45 ;1,06;0,00;12,34;2,45;3,48;19,87;28,19;8,31;48,06;17,30;24,72
2 de sep de 10;45,1746;44,6259;45,1546; 0,55 ;0,37;0,00;12,00;2,65;3,23;22,04;26,90;4,86;48,94;9,93;23,66
3 de sep de 10;45,9129;45,444;45,9029; 0,76 ;0,74;0,00;11,90;3,19;3,00;26,84;25,19;1,65;52,03;3,18;22,20
7 de sep de 10;45,9228;45,5188;45,5936; 0,40 ;0,01;0,00;11,46;2,98;2,78;25,98;24,30;1,68;50,28;3,34;20,85
8 de sep de 10;46,3419;45,7133;46,1423; 0,75 ;0,42;0,00;11,39;3,18;2,59;27,95;22,70;5,25;50,65;10,37;20,11
9 de sep de 10;46,5913;46,2122;46,3219; 0,45 ;0,25;0,00;11,02;3,21;2,40;29,08;21,78;7,30;50,85;14,36;19,69
10 de sep de 10;46,5614;46,1423;46,4915; 0,42 ;0,00;0,07;10,65;2,98;2,30;27,93;21,58;6,36;49,51;12,84;19,20
13 de sep de 10;47,2597;46,8307;47,14; 0,77 ;0,70;0,00;10,66;3,46;2,13;32,47;20,02;12,45;52,49;23,72;19,53
14 de sep de 10;47,589;46,9704;47,3395; 0,62 ;0,33;0,00;10,52;3,54;1,98;33,69;18,84;14,85;52,53;28,26;20,15
