;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
11 de feb de 09;30,1983;29,4072;29,872;;;;;;;;;;;;
12 de feb de 09;30,2776;29,3182;30,2381; 0,96 ;0,00;0,09;;;;;;;;;
13 de feb de 09;30,4458;29,9611;30,0996; 0,48 ;0,17;0,00;;;;;;;;;
17 de feb de 09;29,3478;28,7443;28,9028; 1,36 ;0,00;1,22;;;;;;;;;
18 de feb de 09;29,3477;28,5566;28,9225; 0,79 ;0,00;0,19;;;;;;;;;
19 de feb de 09;29,2886;28,4081;28,4775; 0,88 ;0,00;0,15;;;;;;;;;
20 de feb de 09;28,8334;28,0818;28,5566; 0,75 ;0,00;0,33;;;;;;;;;
23 de feb de 09;28,7346;27,4289;27,5576; 1,31 ;0,00;0,65;;;;;;;;;
24 de feb de 09;28,6654;27,6565;28,4675; 1,11 ;0,00;0,00;;;;;;;;;
25 de feb de 09;28,8532;27,8345;28,2796; 1,02 ;0,19;0,00;;;;;;;;;
26 de feb de 09;28,6356;27,3992;27,4882; 1,24 ;0,00;0,44;;;;;;;;;
27 de feb de 09;27,6761;27,0927;27,231; 0,58 ;0,00;0,31;;;;;;;;;
2 de mar de 09;27,2112;26,1826;26,3507; 1,05 ;0,00;0,91;;;;;;;;;
3 de mar de 09;26,8651;26,1332;26,3309; 0,73 ;0,00;0,05;;;;;;;;;
4 de mar de 09;27,409;26,6277;27,0333; 1,08 ;0,54;0,00;13,33;0,90;4,32;6,75;32,42;25,67;39,17;65,54;
5 de mar de 09;26,9441;26,1332;26,2221; 0,90 ;0,00;0,49;13,28;0,84;4,51;6,29;33,95;27,65;40,24;68,73;
6 de mar de 09;26,5189;25,4307;26,0144; 1,09 ;0,00;0,70;13,42;0,78;4,89;5,78;36,43;30,65;42,21;72,60;
9 de mar de 09;26,5189;25,3518;25,4605; 1,17 ;0,00;0,08;13,63;0,72;4,62;5,29;33,89;28,60;39,17;73,01;
10 de mar de 09;27,0927;25,876;27,0333; 1,63 ;0,57;0,00;14,29;1,24;4,29;8,70;30,02;21,32;38,71;55,06;
11 de mar de 09;27,686;26,964;27,4487; 0,72 ;0,59;0,00;13,99;1,75;3,98;12,49;28,47;15,98;40,96;39,01;
12 de mar de 09;28,4477;27,1421;28,3586; 1,31 ;0,76;0,00;14,30;2,38;3,70;16,68;25,87;9,19;42,55;21,60;
13 de mar de 09;28,5267;28,0123;28,4278; 0,51 ;0,08;0,00;13,79;2,29;3,43;16,63;24,90;8,27;41,53;19,92;
16 de mar de 09;28,6654;27,884;27,953; 0,78 ;0,14;0,00;13,59;2,27;3,19;16,69;23,47;6,78;40,16;16,87;
17 de mar de 09;29,0116;27,9928;29,0116; 1,06 ;0,35;0,00;13,67;2,45;2,96;17,93;21,65;3,72;39,59;9,40;
18 de mar de 09;29,872;28,7643;29,3776; 1,11 ;0,86;0,00;13,80;3,14;2,75;22,73;19,92;2,81;42,64;6,59;
19 de mar de 09;29,8028;29,1402;29,3576; 0,66 ;0,00;0,00;13,48;2,91;2,55;21,61;18,94;2,67;40,55;6,59;
20 de mar de 09;29,7529;28,7127;28,9107; 1,04 ;0,00;0,43;13,56;2,71;2,80;19,95;20,64;0,68;40,59;1,69;
23 de mar de 09;30,6546;28,929;30,6149; 1,74 ;0,90;0,00;14,33;3,41;2,60;23,82;18,13;5,69;41,94;13,57;33,58
24 de mar de 09;30,5951;30,0304;30,0502; 0,58 ;0,00;0,00;13,89;3,17;2,41;22,81;17,36;5,45;40,18;13,57;32,15
25 de mar de 09;30,7635;29,3863;30,189; 1,38 ;0,00;0,64;14,28;2,94;2,88;20,61;20,20;0,41;40,81;1,01;29,93
26 de mar de 09;31,1698;30,1365;31,1202; 1,03 ;0,41;0,00;14,29;3,14;2,68;21,97;18,74;3,23;40,70;7,93;28,36
27 de mar de 09;30,8923;30,4267;30,5356; 0,69 ;0,00;0,00;13,97;2,92;2,49;20,87;17,81;3,07;38,68;7,93;26,90
30 de mar de 09;30,0402;29,3467;29,7827; 1,19 ;0,00;1,08;14,16;2,71;3,39;19,12;23,94;4,82;43,06;11,19;25,78
31 de mar de 09;30,6645;29,9906;30,0402; 0,88 ;0,62;0,00;14,03;3,14;3,15;22,37;22,44;0,07;44,81;0,15;23,95
1 de abr de 09;30,5951;29,5152;30,4861; 1,08 ;0,00;0,48;14,11;2,91;3,40;20,66;24,09;3,43;44,75;7,67;22,78
2 de abr de 09;31,9724;30,9418;31,467; 1,49 ;1,38;0,00;14,58;4,08;3,16;28,00;21,63;6,36;49,63;12,82;22,07
3 de abr de 09;32,1011;31,5364;32,0515; 0,63 ;0,13;0,00;14,18;3,92;2,93;27,65;20,67;6,99;48,32;14,46;21,53
6 de abr de 09;32,0317;31,358;31,9724; 0,69 ;0,00;0,18;13,86;3,64;2,90;26,27;20,92;5,35;47,19;11,33;20,80
7 de abr de 09;31,6255;30,922;31,1302; 1,05 ;0,00;0,44;13,92;3,38;3,13;24,29;22,47;1,81;46,76;3,87;19,59
8 de abr de 09;31,8534;31,1994;31,6551; 0,72 ;0,23;0,00;13,65;3,37;2,90;24,67;21,28;3,39;45,95;7,37;18,72
9 de abr de 09;32,7055;32,1308;32,636; 1,05 ;0,85;0,00;13,72;3,98;2,70;28,99;19,65;9,34;48,64;19,19;18,75
13 de abr de 09;32,7648;32,2298;32,5866; 0,54 ;0,06;0,00;13,28;3,75;2,50;28,27;18,86;9,41;47,13;19,96;18,84
14 de abr de 09;32,5766;31,9724;32,1903; 0,61 ;0,00;0,26;12,94;3,49;2,58;26,93;19,96;6,97;46,88;14,87;18,55
15 de abr de 09;32,1308;31,5562;32,1011; 0,63 ;0,00;0,42;12,65;3,24;2,81;25,58;22,24;3,33;47,82;6,97;17,73
16 de abr de 09;33,1215;32,2101;32,9335; 1,02 ;0,99;0,00;12,77;4,00;2,61;31,29;20,47;10,82;51,76;20,91;17,95
17 de abr de 09;33,1909;32,6262;33,0027; 0,56 ;0,07;0,00;12,42;3,78;2,43;30,43;19,54;10,89;49,96;21,80;18,23
20 de abr de 09;32,5172;31,7642;31,9425; 1,24 ;0,00;0,86;12,77;3,51;3,12;27,48;24,39;3,09;51,87;5,95;17,35
21 de abr de 09;32,4379;31,784;32,3883; 0,65 ;0,00;0,00;12,51;3,26;2,89;26,04;23,12;2,93;49,16;5,95;16,54
22 de abr de 09;33,2207;32,0912;32,4875; 1,13 ;0,78;0,00;12,75;3,81;2,69;29,87;21,07;8,81;50,94;17,29;16,59
23 de abr de 09;32,8343;32,1903;32,8046; 0,64 ;0,00;0,00;12,48;3,54;2,49;28,33;19,98;8,35;48,32;17,29;16,64
24 de abr de 09;33,6169;32,7648;33,3792; 0,85 ;0,78;0,00;12,44;4,07;2,32;32,68;18,61;14,07;51,30;27,43;17,41
27 de abr de 09;33,7459;33,0423;33,4188; 0,70 ;0,13;0,00;12,26;3,91;2,15;31,86;17,55;14,31;49,40;28,97;18,24
28 de abr de 09;33,5971;33,0522;33,1711; 0,54 ;0,00;0,00;11,93;3,63;2,00;30,40;16,74;13,66;47,15;28,97;19,00
29 de abr de 09;34,0825;33,3297;33,6268; 0,91 ;0,49;0,00;11,99;3,85;1,85;32,14;15,47;16,67;47,61;35,01;20,15
30 de abr de 09;34,578;33,726;33,9638; 0,95 ;0,50;0,00;12,08;4,07;1,72;33,71;14,25;19,46;47,96;40,57;21,61
1 de may de 09;34,2214;33,6962;34,0529; 0,53 ;0,00;0,03;11,74;3,78;1,63;32,20;13,87;18,34;46,07;39,80;22,91
4 de may de 09;34,7663;34,2015;34,7266; 0,71 ;0,54;0,00;11,62;4,06;1,51;34,92;13,02;21,90;47,93;45,69;24,53
5 de may de 09;34,7364;34,3105;34,6969; 0,43 ;0,00;0,00;11,22;3,77;1,40;33,59;12,52;21,07;46,11;45,69;26,04
6 de may de 09;35,014;34,142;34,7067; 0,87 ;0,28;0,00;11,29;3,78;1,30;33,45;11,56;21,90;45,01;48,65;27,66
7 de may de 09;34,9447;33,5674;33,8944; 1,38 ;0,00;0,57;11,86;3,51;1,79;29,57;15,06;14,51;44,63;32,51;28,01
8 de may de 09;34,4194;33,5674;33,9142; 0,85 ;0,00;0,00;11,86;3,26;1,66;27,45;13,98;13,47;41,42;32,51;28,33
11 de may de 09;34,3995;33,3692;34,0331; 1,03 ;0,00;0,20;12,05;3,02;1,74;25,10;14,43;10,67;39,53;27,00;28,23
12 de may de 09;34,1619;33,2108;33,6169; 0,95 ;0,00;0,16;12,14;2,81;1,77;23,13;14,60;8,53;37,73;22,60;27,83
13 de may de 09;33,3396;32,656;32,7154; 0,96 ;0,00;0,55;12,23;2,61;2,20;21,31;17,99;3,32;39,30;8,45;26,45
14 de may de 09;33,3892;32,7747;33,0819; 0,67 ;0,05;0,00;12,03;2,47;2,04;20,53;16,98;3,55;37,52;9,46;25,23
15 de may de 09;33,5079;32,9235;33,0621; 0,58 ;0,12;0,00;11,76;2,41;1,90;20,52;16,14;4,38;36,66;11,95;24,28
18 de may de 09;33,9638;33,082;33,924; 0,90 ;0,46;0,00;11,82;2,70;1,76;22,81;14,91;7,91;37,72;20,96;24,05
19 de may de 09;34,4194;33,6368;34,0825; 0,78 ;0,46;0,00;11,76;2,96;1,64;25,17;13,92;11,25;39,09;28,79;24,39
20 de may de 09;34,7167;33,8647;33,9638; 0,85 ;0,30;0,00;11,77;3,04;1,52;25,87;12,91;12,97;38,78;33,43;25,03
21 de may de 09;33,944;33,0027;33,3396; 0,96 ;0,00;0,86;11,89;2,83;2,27;23,78;19,11;4,67;42,90;10,88;24,02
22 de may de 09;33,6567;33,0127;33,2306; 0,64 ;0,00;0,00;11,68;2,63;2,11;22,47;18,06;4,41;40,53;10,88;23,08
26 de may de 09;34,5086;32,8738;34,4691; 1,63 ;0,85;0,00;12,48;3,29;1,96;26,35;15,70;10,66;42,05;25,34;23,24
27 de may de 09;34,8653;34,1124;34,2312; 0,75 ;0,36;0,00;12,34;3,41;1,82;27,63;14,74;12,90;42,37;30,43;23,76
28 de may de 09;34,7464;33,8944;34,6275; 0,85 ;0,00;0,22;12,32;3,17;1,91;25,72;15,49;10,23;41,21;24,83;23,83
29 de may de 09;35,1725;34,4393;35,0536; 0,73 ;0,43;0,00;12,17;3,37;1,77;27,67;14,56;13,12;42,23;31,06;24,35
1 de jun de 09;36,1633;35,2816;36,0543; 1,11 ;0,99;0,00;12,41;4,12;1,64;33,18;13,25;19,93;46,44;42,92;25,68
2 de jun de 09;36,4504;35,7768;36,1038; 0,67 ;0,29;0,00;12,20;4,11;1,53;33,71;12,52;21,18;46,23;45,82;27,12
3 de jun de 09;36,0344;35,5985;35,9948; 0,51 ;0,00;0,18;11,83;3,82;1,60;32,27;13,49;18,77;45,76;41,02;28,11
4 de jun de 09;36,4504;36,0048;36,4011; 0,46 ;0,42;0,00;11,44;3,96;1,48;34,62;12,96;21,66;47,57;45,53;29,35
5 de jun de 09;36,738;36,0839;36,4407; 0,65 ;0,29;0,00;11,28;3,97;1,38;35,16;12,21;22,95;47,37;48,46;30,72
8 de jun de 09;36,6091;35,7868;36,3318; 0,82 ;0,00;0,30;11,29;3,68;1,58;32,60;13,95;18,65;46,55;40,07;31,39
9 de jun de 09;36,827;36,3318;36,6091; 0,50 ;0,22;0,00;10,98;3,64;1,46;33,11;13,32;19,80;46,43;42,63;32,19
10 de jun de 09;36,8369;35,9552;36,4803; 0,88 ;0,00;0,38;11,08;3,38;1,73;30,48;15,66;14,82;46,14;32,12;32,18
11 de jun de 09;36,8865;36,411;36,4803; 0,48 ;0,05;0,00;10,76;3,19;1,61;29,59;14,97;14,63;44,56;32,83;32,23
12 de jun de 09;36,3802;35,8659;36,3119; 0,61 ;0,00;0,55;10,61;2,96;2,04;27,88;19,24;8,64;47,12;18,34;31,24
15 de jun de 09;35,9948;35,2516;35,5688; 1,06 ;0,00;0,61;10,91;2,75;2,51;25,17;23,00;2,17;48,17;4,51;29,33
16 de jun de 09;35,8561;35,1923;35,222; 0,66 ;0,00;0,06;10,80;2,55;2,39;23,62;22,13;1,49;45,76;3,26;27,47
17 de jun de 09;35,8759;35,123;35,5578; 0,75 ;0,00;0,07;10,78;2,37;2,29;21,97;21,23;0,74;43,20;1,72;25,63
18 de jun de 09;35,7273;35,2418;35,4896; 0,49 ;0,00;0,00;10,49;2,20;2,12;20,96;20,25;0,71;41,20;1,72;23,92
19 de jun de 09;36,0688;35,6225;35,8703; 0,58 ;0,34;0,00;10,32;2,38;1,97;23,09;19,11;3,98;42,20;9,42;22,89
22 de jun de 09;35,6025;34,7394;34,799; 1,13 ;0,00;0,88;10,72;2,21;2,72;20,65;25,33;4,68;45,99;10,18;21,98
23 de jun de 09;34,9775;34,4915;34,7196; 0,49 ;0,00;0,25;10,44;2,06;2,77;19,69;26,53;6,84;46,22;14,80;21,46
24 de jun de 09;35,5827;34,9974;35,3049; 0,86 ;0,61;0,00;10,56;2,51;2,57;23,81;24,36;0,55;48,18;1,13;20,01
25 de jun de 09;36,0688;34,9974;35,9993; 1,07 ;0,49;0,00;10,87;2,82;2,39;25,94;21,96;3,98;47,90;8,31;19,18
26 de jun de 09;36,2076;35,7612;36,0786; 0,45 ;0,14;0,00;10,54;2,76;2,22;26,16;21,03;5,13;47,19;10,86;18,58
29 de jun de 09;36,4555;35,8307;36,158; 0,62 ;0,25;0,00;10,41;2,81;2,06;26,97;19,77;7,20;46,74;15,40;18,36
30 de jun de 09;36,4359;35,8207;36,0885; 0,62 ;0,00;0,01;10,29;2,61;1,92;25,35;18,68;6,67;44,04;15,15;18,13
1 de jul de 09;36,5448;36,0985;36,1084; 0,46 ;0,11;0,00;10,01;2,53;1,78;25,29;17,83;7,46;43,12;17,29;18,07
2 de jul de 09;35,8107;35,2156;35,3149; 0,89 ;0,00;0,88;10,19;2,35;2,54;23,07;24,94;1,87;48,01;3,89;17,05
6 de jul de 09;35,2552;34,7593;35,1263; 0,56 ;0,00;0,46;10,01;2,18;2,81;21,79;28,11;6,32;49,90;12,67;16,74
7 de jul de 09;35,2058;34,2335;34,2534; 0,97 ;0,00;0,53;10,27;2,03;3,14;19,73;30,57;10,84;50,30;21,56;17,08
8 de jul de 09;34,5908;34,0252;34,432; 0,57 ;0,00;0,21;10,10;1,88;3,12;18,62;30,92;12,30;49,54;24,82;17,64
9 de jul de 09;34,7296;34,3725;34,4915; 0,36 ;0,14;0,00;9,74;1,89;2,90;19,37;29,79;10,42;49,15;21,20;17,89
10 de jul de 09;34,8586;34,2833;34,6403; 0,58 ;0,13;0,00;9,62;1,88;2,69;19,55;28,00;8,46;47,55;17,78;17,88
13 de jul de 09;35,3149;34,2038;35,3049; 1,11 ;0,46;0,00;10,04;2,20;2,50;21,93;24,91;2,98;46,83;6,35;17,06
14 de jul de 09;35,5034;35,1165;35,4338; 0,39 ;0,19;0,00;9,71;2,23;2,32;23,00;23,91;0,92;46,91;1,95;15,98
15 de jul de 09;36,6342;35,8505;36,6243; 1,20 ;1,13;0,00;10,22;3,20;2,16;31,36;21,10;10,26;52,47;19,55;16,24
16 de jul de 09;37,1401;36,4259;37,0608; 0,71 ;0,51;0,00;10,20;3,48;2,00;34,12;19,63;14,50;53,75;26,97;17,00
17 de jul de 09;37,2691;36,8722;37,2592; 0,40 ;0,13;0,00;9,87;3,36;1,86;34,06;18,84;15,22;52,90;28,78;17,84
20 de jul de 09;37,6956;37,3087;37,6162; 0,44 ;0,43;0,00;9,60;3,55;1,73;36,95;17,98;18,97;54,93;34,54;19,04
21 de jul de 09;37,8742;37,3385;37,8742; 0,54 ;0,18;0,00;9,45;3,47;1,60;36,75;16,96;19,79;53,71;36,84;20,31
22 de jul de 09;38,3801;37,8245;38,1917; 0,56 ;0,51;0,00;9,33;3,73;1,49;39,98;15,95;24,03;55,93;42,96;21,93
23 de jul de 09;39,1736;38,0825;39,0347; 1,09 ;0,79;0,00;9,76;4,26;1,38;43,64;14,17;29,48;57,81;50,99;24,00
24 de jul de 09;39,0546;38,4693;38,7372; 0,59 ;0,00;0,00;9,65;3,95;1,28;41,00;13,31;27,69;54,30;50,99;25,93
27 de jul de 09;39,0944;38,5586;39,0347; 0,54 ;0,04;0,00;9,49;3,71;1,19;39,10;12,56;26,54;51,66;51,38;27,75
28 de jul de 09;39,2729;38,6181;39,1538; 0,65 ;0,18;0,00;9,47;3,62;1,11;38,28;11,69;26,59;49,97;53,22;29,57
29 de jul de 09;39,1141;38,6876;39,0249; 0,47 ;0,00;0,00;9,26;3,37;1,03;36,35;11,10;25,25;47,45;53,22;31,26
30 de jul de 09;39,8581;39,1935;39,253; 0,83 ;0,74;0,00;9,43;3,87;0,95;41,03;10,12;30,91;51,15;60,43;33,34
31 de jul de 09;39,533;39,0944;39,1339; 0,44 ;0,00;0,10;9,20;3,59;0,99;39,07;10,71;28,36;49,79;56,96;35,03
3 de ago de 09;39,7392;39,3225;39,7193; 0,61 ;0,21;0,00;9,14;3,54;0,91;38,74;10,01;28,74;48,75;58,95;36,74
4 de ago de 09;39,868;39,4513;39,7193; 0,42 ;0,13;0,00;8,91;3,42;0,85;38,38;9,54;28,84;47,91;60,19;38,41
5 de ago de 09;39,8185;39,1439;39,4117; 0,67 ;0,00;0,31;8,95;3,17;1,10;35,48;12,25;23,23;47,74;48,66;39,14
6 de ago de 09;39,6102;38,9257;39,0644; 0,68 ;0,00;0,22;8,99;2,95;1,24;32,78;13,75;19,03;46,53;40,91;39,27
7 de ago de 09;39,7491;39,2729;39,5605; 0,68 ;0,14;0,00;9,03;2,88;1,15;31,83;12,71;19,13;44,54;42,95;39,53
10 de ago de 09;39,5309;39,0249;39,2827; 0,54 ;0,00;0,25;8,92;2,67;1,31;29,92;14,72;15,20;44,65;34,05;39,14
11 de ago de 09;39,1836;38,7372;38,9454; 0,55 ;0,00;0,29;8,83;2,48;1,51;28,08;17,07;11,00;45,15;24,38;38,09
12 de ago de 09;39,8978;38,886;39,5506; 1,01 ;0,71;0,00;9,21;3,02;1,40;32,74;15,20;17,55;47,94;36,60;37,98
13 de ago de 09;39,8383;39,3225;39,7689; 0,52 ;0,00;0,00;9,07;2,80;1,30;30,88;14,33;16,55;45,21;36,60;37,88
14 de ago de 09;39,6399;38,9653;39,3126; 0,80 ;0,00;0,36;9,23;2,60;1,56;28,19;16,95;11,24;45,15;24,89;36,95
17 de ago de 09;38,6975;38,152;38,1717; 1,16 ;0,00;0,81;9,73;2,42;2,27;24,83;23,29;1,54;48,12;3,19;34,54
18 de ago de 09;38,7968;38,3007;38,7174; 0,63 ;0,10;0,00;9,66;2,34;2,10;24,25;21,78;2,47;46,04;5,35;32,46
19 de ago de 09;39,0844;38,2312;38,9852; 0,85 ;0,29;0,00;9,82;2,46;1,95;25,07;19,89;5,18;44,96;11,52;30,96
20 de ago de 09;39,5209;38,886;39,4415; 0,63 ;0,44;0,00;9,76;2,72;1,81;27,91;18,60;9,32;46,51;20,03;30,18
21 de ago de 09;40,0368;39,4217;39,9671; 0,62 ;0,52;0,00;9,67;3,04;1,68;31,47;17,42;14,06;48,89;28,75;30,08
24 de ago de 09;40,245;39,7788;39,9276; 0,47 ;0,21;0,00;9,45;3,04;1,56;32,12;16,56;15,57;48,68;31,98;30,21
25 de ago de 09;40,4335;39,9276;40,0468; 0,51 ;0,19;0,00;9,28;3,01;1,45;32,40;15,65;16,75;48,06;34,85;30,55
26 de ago de 09;40,2757;39,7589;39,9771; 0,52 ;0,00;0,17;9,13;2,79;1,52;30,57;16,61;13,96;47,18;29,58;30,48
27 de ago de 09;40,1458;39,3522;40,0763; 0,79 ;0,00;0,41;9,27;2,59;1,82;27,95;19,58;8,38;47,53;17,62;29,56
28 de ago de 09;40,7509;39,8383;40,1161; 0,91 ;0,61;0,00;9,52;3,01;1,69;31,63;17,70;13,93;49,33;28,23;29,46
31 de ago de 09;39,878;39,4713;39,7093; 0,64 ;0,00;0,37;9,49;2,80;1,93;29,48;20,37;9,11;49,85;18,28;28,67
1 de sep de 09;40,2649;38,8464;38,9653; 1,42 ;0,00;0,62;10,23;2,60;2,42;25,39;23,65;1,74;49,04;3,55;26,87
2 de sep de 09;39,1538;38,7272;38,9356; 0,43 ;0,00;0,12;9,93;2,41;2,37;24,30;23,84;0,46;48,14;0,97;25,02
3 de sep de 09;39,2532;38,7075;39,1935; 0,55 ;0,10;0,00;9,76;2,34;2,20;23,96;22,50;1,46;46,46;3,14;23,46
4 de sep de 09;40,0566;39,2035;40,0368; 0,86 ;0,80;0,00;9,93;2,98;2,04;29,97;20,55;9,42;50,52;18,65;23,11
8 de sep de 09;40,4534;40,1359;40,4137; 0,42 ;0,40;0,00;9,64;3,16;1,89;32,79;19,66;13,13;52,45;25,04;23,25
9 de sep de 09;40,9593;40,2649;40,7609; 0,69 ;0,51;0,00;9,64;3,44;1,76;35,68;18,24;17,43;53,92;32,33;23,90
10 de sep de 09;41,1973;40,6717;41,1478; 0,53 ;0,24;0,00;9,48;3,43;1,63;36,21;17,23;18,98;53,44;35,51;24,73
11 de sep de 09;41,2867;40,8898;41,1874; 0,40 ;0,09;0,00;9,20;3,28;1,52;35,62;16,49;19,13;52,11;36,72;25,59
14 de sep de 09;41,3759;40,8799;41,3461; 0,50 ;0,09;0,00;9,04;3,13;1,41;34,65;15,58;19,07;50,23;37,96;26,47
15 de sep de 09;41,614;41,2371;41,475; 0,38 ;0,24;0,00;8,77;3,15;1,31;35,88;14,91;20,96;50,79;41,28;27,53
16 de sep de 09;42,1397;41,5049;42,0802; 0,66 ;0,53;0,00;8,81;3,45;1,21;39,14;13,79;25,35;52,93;47,90;28,98
17 de sep de 09;42,3183;41,8719;42,0703; 0,45 ;0,18;0,00;8,62;3,38;1,13;39,18;13,07;26,11;52,26;49,96;30,48
18 de sep de 09;42,3193;41,9122;42,1406; 0,41 ;0,00;0,00;8,42;3,14;1,05;37,30;12,44;24,86;49,74;49,97;31,87
21 de sep de 09;42,3988;41,8625;42,2696; 0,54 ;0,08;0,00;8,35;2,99;0,97;35,86;11,64;24,21;47,50;50,98;33,24
22 de sep de 09;42,5279;42,1404;42,3492; 0,39 ;0,13;0,00;8,14;2,91;0,90;35,74;11,09;24,65;46,82;52,64;34,62
23 de sep de 09;42,8655;42,0781;42,1505; 0,79 ;0,34;0,00;8,35;3,04;0,84;36,41;10,04;26,37;46,45;56,76;36,20
24 de sep de 09;42,3888;41,4752;41,7732; 0,91 ;0,00;0,60;8,67;2,82;1,38;32,57;15,94;16,63;48,51;34,28;36,07
25 de sep de 09;41,7931;41,2867;41,4059; 0,51 ;0,00;0,19;8,55;2,62;1,47;30,64;17,20;13,44;47,84;28,09;35,50
28 de sep de 09;42,3591;41,5944;42,1107; 0,95 ;0,57;0,00;8,89;3,00;1,37;33,72;15,36;18,36;49,08;37,41;35,63
29 de sep de 09;42,3194;41,7335;41,9221; 0,59 ;0,00;0,00;8,85;2,79;1,27;31,49;14,34;17,15;45,83;37,41;35,76
30 de sep de 09;42,3019;41,3065;41,9519; 1,00 ;0,00;0,43;9,21;2,59;1,60;28,08;17,43;10,66;45,51;23,41;34,88
1 de oct de 09;41,8328;40,7107;40,7107; 1,24 ;0,00;0,60;9,79;2,40;2,09;24,52;21,30;3,22;45,83;7,03;32,89
2 de oct de 09;40,959;40,4327;40,5916; 0,53 ;0,00;0,28;9,62;2,23;2,22;23,18;23,03;0,16;46,21;0,34;30,57
5 de oct de 09;41,1079;40,5419;40,9192; 0,57 ;0,15;0,00;9,50;2,22;2,06;23,37;21,66;1,71;45,02;3,81;28,65
6 de oct de 09;41,8427;40,9298;41,644; 0,92 ;0,73;0,00;9,74;2,80;1,91;28,70;19,60;9,09;48,30;18,83;27,95
7 de oct de 09;41,7832;41,4752;41,7633; 0,31 ;0,00;0,00;9,36;2,60;1,77;27,75;18,96;8,79;46,71;18,83;27,30
8 de oct de 09;42,3193;41,8427;41,942; 0,56 ;0,54;0,00;9,24;2,95;1,65;31,88;17,82;14,06;49,70;28,30;27,37
9 de oct de 09;42,2498;41,7633;42,1803; 0,49 ;0,00;0,08;9,07;2,74;1,61;30,17;17,74;12,43;47,91;25,96;27,27
12 de oct de 09;42,5676;41,9817;42,2696; 0,59 ;0,32;0,00;9,01;2,86;1,49;31,74;16,58;15,15;48,32;31,36;27,56
13 de oct de 09;42,4485;42,0711;42,2795; 0,38 ;0,00;0,00;8,74;2,65;1,39;30,37;15,87;14,50;46,23;31,36;27,83
14 de oct de 09;42,9876;42,5476;42,8555; 0,71 ;0,54;0,00;8,83;3,00;1,29;34,04;14,59;19,45;48,63;39,98;28,70
15 de oct de 09;42,8158;42,5676;42,7561; 0,29 ;0,00;0,00;8,48;2,79;1,20;32,88;14,10;18,79;46,98;39,98;29,51
16 de oct de 09;42,6867;42,1803;42,4781; 0,58 ;0,00;0,39;8,45;2,59;1,50;30,64;17,72;12,92;48,36;26,72;29,31
19 de oct de 09;42,9647;42,2895;42,9052; 0,68 ;0,28;0,00;8,52;2,68;1,39;31,48;16,32;15,16;47,79;31,72;29,48
20 de oct de 09;43,1533;42,637;42,9151; 0,52 ;0,19;0,00;8,43;2,68;1,29;31,79;15,32;16,47;47,10;34,96;29,87
21 de oct de 09;43,5109;42,7561;42,8356; 0,75 ;0,36;0,00;8,58;2,85;1,20;33,16;13,97;19,19;47,13;40,71;30,65
22 de oct de 09;43,1832;42,4881;43,0044; 0,70 ;0,00;0,27;8,67;2,64;1,38;30,50;15,94;14,56;46,44;31,34;30,70
23 de oct de 09;43,4215;42,7165;42,8257; 0,70 ;0,24;0,00;8,75;2,69;1,28;30,76;14,66;16,11;45,42;35,46;31,04
26 de oct de 09;43,4513;42,4881;42,6867; 0,96 ;0,00;0,23;9,09;2,50;1,42;27,50;15,62;11,89;43,12;27,57;30,79
27 de oct de 09;42,8059;41,8825;42,0413; 0,92 ;0,00;0,61;9,36;2,32;1,92;24,79;20,54;4,25;45,34;9,37;29,26
28 de oct de 09;42,0214;41,0086;41,098; 1,03 ;0,00;0,87;9,73;2,16;2,66;22,16;27,35;5,19;49,51;10,48;27,92
29 de oct de 09;41,8925;41,247;41,7931; 0,79 ;0,00;0,00;9,83;2,00;2,47;20,37;25,14;4,77;45,51;10,48;26,67
30 de oct de 09;41,8526;40,6313;40,6711; 1,22 ;0,00;0,62;10,35;1,86;2,91;17,96;28,12;10,16;46,08;22,04;26,34
2 de nov de 09;41,2767;40,3532;40,8399; 0,92 ;0,00;0,28;10,53;1,73;2,98;16,39;28,29;11,91;44,68;26,64;26,36
3 de nov de 09;41,0285;40,5519;40,9689; 0,48 ;0,00;0,00;10,26;1,60;2,77;15,63;26,98;11,35;42,61;26,64;26,38
4 de nov de 09;41,5747;40,9888;41,0384; 0,61 ;0,55;0,00;10,13;2,03;2,57;20,09;25,37;5,28;45,45;11,62;25,33
5 de nov de 09;42,1009;41,4852;42,0512; 1,06 ;0,53;0,00;10,47;2,42;2,39;23,07;22,79;0,28;45,87;0,61;23,56
6 de nov de 09;42,3492;41,7832;42,2995; 0,57 ;0,25;0,00;10,29;2,49;2,22;24,22;21,54;2,68;45,76;5,86;22,30
9 de nov de 09;43,2129;42,5775;43,203; 0,91 ;0,86;0,00;10,46;3,18;2,06;30,36;19,66;10,70;50,01;21,39;22,23
10 de nov de 09;43,4627;43,0938;43,3122; 0,37 ;0,25;0,00;10,09;3,20;1,91;31,72;18,94;12,78;50,66;25,24;22,45
11 de nov de 09;43,8286;43,3024;43,5903; 0,53 ;0,37;0,00;9,89;3,34;1,77;33,74;17,93;15,80;51,67;30,59;23,03
12 de nov de 09;43,8484;43,2428;43,3421; 0,61 ;0,00;0,06;9,79;3,10;1,71;31,65;17,43;14,22;49,08;28,97;23,45
